gene.id	SYMBOL	logFC	AveExpr	P.Value	adj.P.Val
102607	Snx19	-3.52195871047033	5.24253864118863	2.63102429422323e-09	5.03028160583455e-07
244895	Peak1	-3.55210646358094	5.76937925969154	2.65656931165016e-09	5.03028160583455e-07
108760	Galnt16	-2.91583923873726	6.91610106100494	2.68357013929121e-09	5.03028160583455e-07
23805	Apc2	-3.25349858590973	5.81249395165224	2.7738421444781e-09	5.12492219403059e-07
72043	Sulf2	-3.29043973257848	6.0851829344331	2.8132342296034e-09	5.12492219403059e-07
80286	Tusc3	-3.54921415636267	6.03061440268223	2.84198268516367e-09	5.12492219403059e-07
11975	Atp6v0a1	-2.77453876296955	8.16489810470459	3.15389996106569e-09	5.61630735566774e-07
20742	Sptbn1	-3.11714822448071	8.79673217239145	3.35899195033419e-09	5.83241442809229e-07
18844	Plxna1	-3.56408760411116	5.9886303079887	3.3805140914609e-09	5.83241442809229e-07
26569	Slc27a4	-3.13423141088896	5.59711400523543	3.39807944357476e-09	5.83241442809229e-07
50781	Dkk3	-2.86478915946224	8.27006153137237	3.52238866782831e-09	5.93773878066088e-07
207596	Thsd4	-3.77148943816405	4.75482575040617	3.54280356841342e-09	5.93773878066088e-07
270109	Pcnx2	-3.13354703741035	5.50889711550861	3.76456308205797e-09	6.22488420530553e-07
11305	Abca2	-3.12004077063404	6.20842736562154	3.86815418636371e-09	6.22488420530553e-07
94214	Spock2	-2.89332128371802	7.31035041372169	3.89738376996328e-09	6.22488420530553e-07
20661	Sort1	-2.83314545519392	8.28445735609598	3.98286043651229e-09	6.22488420530553e-07
67937	Tmem59l	-2.76066873184725	7.91422720226987	4.01282920250505e-09	6.22488420530553e-07
57138	Slc12a5	-2.70429984812396	7.60922563448636	4.01480356352854e-09	6.22488420530553e-07
243743	Plxna4	-3.11287441142331	6.28259754928334	4.02000103108317e-09	6.22488420530553e-07
229706	Slc6a17	-2.7662229217385	8.00025731604408	4.13710069235562e-09	6.33732650142991e-07
54387	Mcm3ap	-3.77356161237011	5.09217053325151	4.18338165434026e-09	6.34004840933313e-07
320632	Snrnp200	-3.52161114068636	6.43550713069683	4.26167184054164e-09	6.39071337266907e-07
20203	S100b	2.77530712544792	5.4059066808728	4.37071832893968e-09	6.44897402699438e-07
56717	Mtor	-3.07996071019511	6.24037063438094	4.39106051255408e-09	6.44897402699438e-07
110891	Slc8a2	-3.35017051812808	7.56994274658621	4.47024770244465e-09	6.49828048663535e-07
20660	Sorl1	-4.25553257033873	5.07307353756552	4.55994936191372e-09	6.5154186402291e-07
320429	Trank1	-3.29936912653108	5.70252856750882	4.57743237628905e-09	6.5154186402291e-07
208151	Tmem132b	-2.85616560408307	5.95313940967572	4.66203911309824e-09	6.5154186402291e-07
75560	Ep400	-2.96936835395614	5.72061304796279	4.66497754670342e-09	6.5154186402291e-07
232975	Atp1a3	-2.72230993920881	10.3544173810073	4.72432527431307e-09	6.53424639396738e-07
12290	Cacna1e	-5.18199395500154	5.45301410244689	4.8373383617401e-09	6.59903903486205e-07
68059	Tm9sf2	-3.28275502728931	5.86300317655757	4.96275392795807e-09	6.59903903486205e-07
20972	Syngr1	-2.58627068433431	8.400395397427	4.9759669682396e-09	6.59903903486205e-07
